Images,Spell Name,Page,Source,Foundry Tag,Unnamed: 5,Tag ABRV,Tag,Theme,Class,New Class,Subclass,Level,School,School ABRV,Description,Notes,Clarification,Table,Scaling,Scaling Level,Scaling Modifier,Scaling Effect,Scaling Dice Count,Scaling Dice Type,Fixed Value,Flavor,Alternative Flavor,Quotes,Anomaly Effect,Modifier Details,Modifier Type,Modifier Subtype,Modifier Dice Count,Modifier Dice Type,Modifier Fixed Value,Modifier Use Primary Stat,Modifier Duration,Modifier Duration Unit,Damage,Damage Type,Old Damage Type,Old Type,Condition,Saving Throw,Success,Fail,Skill Check,Ability Check,DC,Ritual,Techno Magic,Casting Time,Casting Unit,Casting Type,Trigger,Duration,Duration Type,Duration Amount,Duration Unit,Up To,Concentration,Range,Range Type,Range Unit,Range Distance,Area,Area Type,Area ABRV,Area Unit,Area Distance,Components,Components ABVR,Component Description (Material),Component Description (Somatic),Component Description (Verbal),Terrain,Terrain Effect,Consecrated / Desecrated,Cost,Acquisition Note,Permit,Blood Pact,Blood Pact Effect,Arcane Strain,References SRD,Image Url,DDB,WA,LLM Class
,Blasphemer’s Undoing,0.0,ORIO,,,,,,Paladin,Judge,,4th-level,Necromancy,N,"When a creature who has dealt necrotic damage in the past 24 hours enters Sanctified Terrain, you may call upon the terrain itself to reject them.

They must make a Constitution saving throw or take:- 6d6 chiaric damage- Become Incapacitated until the end of their next turn if they fail by 5 or more

On a success, they take half damage and are not incapacitated.",,,,,,,,,,,,,,,fail by 5 or more,4.0,3.0,,,5,,,,,,,,,,,,,,,False,False,Reaction,1.0,Reaction,when a creature enters sanctified terrain,Instantaneous,Instant,,,False,False,60 feet,Point,60.0,Feet,,,,,,"Verbal, Somatic, Material","V, S, R",a torn holy symbol,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/blasphemer%E2%80%99s%20undoing.png,3137203.0,,"Cleric, Paladin"
,Blink and You Missed It,0.0,ORIO,,,,Teleportation,,"Sorceror, Wizard",Parascientist,,0-Cantrip,Transmutation,T,"You momentarily sync out of step with the immediate flow of time, creating a minor delay in perception.
 
Until the start of your next turn:
- Creatures that would notice you must make an Intelligence saving throw or fail to recall any details about your presence until you interact with them directly.
- If you attack or speak, the effect immediately ends for that creature.",,,,,,,,,,,,,,,creatures must make an Intelligence saving throw or fail to recall any details about your presence,4.0,4.0,,,,,1,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 rounds,,1.0,Rounds,False,False,Self,Point,,Self,(10- feet radius),,,10.0,Radius,"Somatic, Verbal","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/blink%20and%20you%20missed%20it.png,3137204.0,,"Sorcerer, Warlock"
,Bliss on the Lips,0.0,ORIO,"Creates Light, Grants Advantage","Creates Light, Grants Advantage",LGTS,"Sexual, BETA",,Bard,Cultist,,2nd-level,Enchantment,E,"A kiss imbued with phantasmal delirium seeps into the target’s mind, unraveling their thoughts into surreal hallucinations.
 
- The target becomes heavily intoxicated, seeing phantom lights and distorted visions.
- They suffer disadvantage on Intelligence, Wisdom, and Dexterity checks.
- If they fail a Wisdom save, they believe their deepest desires have become real, embracing illusions as if they were flesh.",,,,,,,,,,,,,,,"suffers disadvantage on Intelligence, Wisdom, and Dexterity checks",5.0,,,,disadvantage,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 turn,,1.0,,False,False,Touch,Point,,Touch,,,,,,Somatic,S,,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/bliss%20on%20the%20lips.png,3137205.0,,"Bard, Sorcerer, Warlock"
,Bloom Canker,0.0,ORIO,"Modifies AC, Difficult Terrain","Modifies AC, Difficult Terrain",MAC,,,"Cleric, Sorceror, Druid","Architect, Anomalous",,8th-level,Necromancy,N,"You rupture the boundaries of cell cohesion in a targeted area, causing violent outgrowths of alien flesh and rapid, cancerous mutation.
All creatures in the area must make a Constitution saving throw. On a failure:
- They take 8d10 biologic damage.
- They are Mutated for the duration.
- Difficult terrain forms as cancerous masses spread across the ground.

On a success, creatures take half damage and are not mutated.

If cast in an urban area, strange organic material fuses with infrastructure, leaving behind semi-living architecture.",,,,,,,,,,,,,,,takes 8d10 biologic damage on failure,4.0,3.0,8,10,,,,,8d10,biologic,Poison,,,,,,,,,False,False,Action,1.0,Action,,up to 1 minutes,,1.0,Minutes,True,True,120 feet,Point,120.0,Feet,20 ft radius sphere,Sphere,S,20.0,"Radius, Sphere","Material, Somatic, Verbal","V, S, R",a scalpel sealed in wax,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/bloom%20canker.png,3137206.0,,"Druid, Sorcerer, Warlock"
,Bogbolt,0.0,ORIO,"Summons Creature, Modifies AC, Grants Advantage","Summons Creature, Modifies AC, Grants Advantage",SMN,"Mispelled, Damage, BETA",,"Druid, Ranger",Architect,,1st-level,Evocation,V,"You conjure and fling a dense glob of swamp muck at a creature within range. The bolt arcs with a disgusting squelch, trailing algae, peat, and mystery goo.

Make a ranged spell attack against a creature. On a hit, the target takes 1d8 impact damage and must succeed on a Charisma saving throw or be coated in stinking mire for 1 minute.

While affected:- The target has disadvantage on Charisma checks involving persuasion, performance, or decorum.- The effect ends early if the creature spends an action to scrape or wash off the muck.",,,,,,,,,,,This spell is often used less for harm and more for humiliation. The smell lingers longer than the magic.,,,,must succeed on a Charisma saving throw,4.0,6.0,1,8,,,,,1d8,impact,Bludgeoning,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,Touch,Point,,Touch,,,,,,"Somatic, Verbal","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/bogbolt.png,3137207.0,,"Druid, Sorcerer"
,Boiling Rebuke,3.0,ORIO,"Requires Sight, Difficult Terrain","Requires Sight, Difficult Terrain",SGT,,,,,,3rd-Level,Evocation,V,"You create a roiling burst of scalding liquid at a point you can see within range. Creatures within the area take 3d6 fire damage, or half as much on a successful Dexterity saving throw. The area becomes difficult terrain until the start of your next turn.",,,,,,,,,,,,,,,takes half damage on a successful Dexterity saving throw,4.0,2.0,,,half as much,,,,3d6,,,fire,,,,,,,,False,False,Action,1.0,Reaction,,Instantaneous,Instant,,,False,,60 feet,Point,60.0,Feet,,,,,,"Verbal, Somatic","V, S",,,,,,,,,,,,,,,,,"Sorcerer, Wizard"
,Bonechant Bloom,0.0,ORIO,Modifies AC,Modifies AC,MAC,,,"Ranger, Warlock","Architect, Cultist",,1st-level,Transmutation,T,"You accelerate the growth of parasitic flora hidden in the bones of the land.
- Choose a point on the ground within 30 ft. A twisting vine- bloom erupts in a 10 ft radius.
- Enemies that enter or start their turn there must succeed a Strength save or be restrained until the end of their next turn.
- The vines writhe as if remembering something.",,,,,,,,,,,,,,,enemies must succeed a Strength save or be restrained,4.0,1.0,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,up to 1 minutes,,1.0,Minutes,True,True,30 feet,Point,30.0,Feet,,,,,,"Material, Somatic, Verbal","V, S, R",a root knot in the shape of a skull,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/bonechant%20bloom.png,3137208.0,,"Druid, Ranger"
,Borrowed Chance,1.0,ORIO,"Requires Sight, Grants Advantage","Requires Sight, Grants Advantage",SGT,,,,,,1st-Level,Transmutation,T,"You twist the flow of possibility, stealing fortune from the immediate future. You gain advantage on the next attack roll you make against a creature you can see within range before the end of your next turn. Once the attack is resolved, the target gains advantage on the next attack roll it makes before the end of its next turn.",,,,,,,,,,,,,,,gains advantage on the next attack roll,2.0,,1,,advantage,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,,Touch,Point,,Touch,,,,,,"Verbal, Somatic","V, S",,,,,,,,,,,,,,,,,"Sorcerer, Warlock"
,Borrowed Momentum,0.0,ORIO,"Modifies AC, Creates Light","Modifies AC, Creates Light",MAC,BETA,,"Paladin, Ranger, Sorceror","Anomalous, Medic",,1st-level,Abjuration,A,"You urge a creature to draw briefly beyond its natural cadence, pulling strength and clarity from moments that have not yet arrived. The target’s body moves ahead of its own shadow, muscles and thought aligning into a single urgent flow.

For the duration, the target gains increased speed, heightened physical control, and sharpened focus, allowing swift movement and rapid repositioning that borders on precognition. Their steps are lighter, reactions faster, and decisions arrive without hesitation.

When the spell ends, the borrowed momentum collapses. The creature pays the cost of acting ahead of itself, gaining one level of exhaustion as time and flesh reclaim what was taken.",,,,,,,,,,,,,,,gains increased speed,7.0,,,,,,1,2.0,,,,,,,,,,,,False,False,Action,1.0,Action,,1 minutes,,1.0,Minutes,False,False,Touch,Point,,Touch,,,,,,"Verbal, Somatic","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/borrowed%20momentum.png,3137414.0,,"Bard, Sorcerer"
,Breath Stolen Back,0.0,ORIO,Modifies AC,Modifies AC,MAC,BETA,,"Cleric, Paladin",Medic,,3rd-level,Necromancy,N,"You seize a departing soul at the final threshold and wrench it back into flesh that has already begun to fail.

By laying your hand upon the fallen, you force life to resume in a body that has already crossed the brink. The creature gasps back into the world with a single flicker of vitality, yet something is wrong.

Its movements are stiff, breath shallow, and pulse irregular, as if its life is being held in place by will rather than truly restored. Until the body is allowed to fully reconcile with life through rest, it bears the weight of having died, dragging exhaustion behind every action.

Priests whisper that this rite does not revive the dead so much as delay the truth.",,,,,,,,,,,,,,,"movement and actions are stiff, breath shallow, and pulse irregular",5.0,,,,-2,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R",a defibrillator or mechanical equivalent,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/breath%20stolen%20back.png,3137575.0,,Cleric
,Canticle of the Built World,0.0,ORIO,,,,,,Druid,Architect,,4th-level,Transmutation,T,"You lay your hand upon stone, concrete, or reinforced architecture and attune yourself to the slow awareness of what has been built. For the duration, you share a muted communion with the structure, sensing movement within it up to 60 feet from your location.

Through fractured impressions and weighty memories, the structure answers simple inquiries. You may learn what last moved within its bounds, what forces have recently scarred it, or whether living beings currently shelter inside. Its responses are never words, but sensations of pressure, absence, and strain.

Once during the duration, you may impose your will upon a 10-foot portion of the structure, either coaxing it to mend itself, restoring up to 30 hit points, or commanding it to weaken and fracture, dealing 6d6 force damage as cracks race through its body.

In cities and ruins alike, the built world listens, remembers, and endures, and for a brief time, it answers only to you.",,,,,,,,,,,,,,,restores up to 30 hit points,9.0,,30,,,,1,3.0,,,,,,,,,,,,False,False,1 minutes,1.0,Minutes,,1 hours,,1.0,Hours,False,False,touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R",a cracked stone with a spiral drawn in chalk,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/canticle%20of%20the%20built%20world.png,3137230.0,,Wizard
,Cataclysm of Tainted Radiance,0.0,ORIO,,,,Damage,,"Sorceror, Wizard, Warlock","Anomalous, Medic",,9th-level,Evocation,V,"You tear open a forbidden wellspring of corruptive power, flooding the land with ruinous emanations that cling to flesh and stone alike.

All creatures in the affected area are scorched by the unleashed radiance, taking 8d10 radiant corruption damage (Constitution save for half).

Creatures that fail the saving throw become Tainted for 1 minute.

While Tainted:
	•	The creature exudes a sickly, unnatural glow.
	•	Any creature that ends its turn within 10 feet of a Tainted creature takes 1d4 radiant corruption damage, stacking with repeated exposure.
	•	A Tainted creature cannot benefit from invisibility, concealment, or stealth of any kind.
	•	Each Tainted creature has a 10% chance to manifest a unique anomaly or corruption, determined by the GM. These manifestations may be physical, spiritual, or metaphysical in nature.

The corruption lingers in the air, crawling from body to body like a curse given form, and even those who survive the blast may never fully escape its mark.",,,,,,,,,,,,,,,takes 8d10 radiant corruption damage (Constitution save for half),4.0,3.0,8,10,,,,,8d10,,Fire,,,,,,,,,False,False,Action,1.0,Action,,1 minutes,,1.0,Minutes,False,False,120 feet,Point,120.0,Feet,40 ft radius,,,40.0,Radius,"Verbal, Somatic, Material","V, S, R",a Geiger counter that flatlines,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/cataclysm%20of%20tainted%20radiance.png,3137556.0,,"Sorcerer, Warlock"
,Cataclysm of Unbound Force,0.0,ORIO,,,,Damage,,"Wizard, Druid, Warlock","Architect, Cultist",,8th-level,Evocation,V,"You trigger a violent release of raw, unshaped power at a point within range. The detonation warps gravity and space in a 20-foot-radius sphere. Each creature in the area must make a Dexterity saving throw. On a failure, a creature takes 12d10 impact damage and is hurled up to 30 feet away. On a success, it takes half damage and is not pushed. For 1 minute after the blast, the area bears visible scars of distortion, with colors bending and weight behaving unpredictably.",,,,,,,,,,,,,,,each creature in the area must make a Dexterity saving throw,4.0,2.0,,,,,,,12d10,impact,Force,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,60 feet,Point,60.0,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","an unstable anomaly, a crushed blueprint soaked in rainwater",,,,,,,"Due to its instability, use of this spell without a permit is classified as an extreme containment risk.",,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/cataclysm%20of%20unbound%20force.png,3137191.0,,"Sorcerer, Wizard"
