Spell Name,Audit - Resolution Model,Audit - Cantrip Decision,Audit - Damage Budget,Audit - Rider Budget,Audit - Damage Verdict,Audit - Permanent Effect Verdict,Audit - Original Class Verdict,Audit - Suggested Class Additions,Audit - Suggested Class Removals,Audit - Class Rationale,Audit - Action Economy Verdict,Audit - Upcasting Verdict,Audit - Overall Balance Verdict,Audit - Recommended Change Summary
Grounded Ward,Automatic with prerequisite,Promote to 1st-level,4.5-10.1 expected; 4.5 listed,Strong rider: reduced damage budget,Acceptable,Safe,Broaden Access,"Artificer, Cleric, Paladin",,"Added thematic access for Artificer, Cleric, Paladin",Keep Action,Add Damage Scaling,Acceptable,"Promoted from cantrip to 1st level; Added Artificer, Cleric, Paladin access"
Gutterwake,Saving Throw,Promote to 1st-level,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Warlock,Removed non-thematic/high-level access for Warlock,Keep Action,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level; Removed Warlock access
Hesitation Courtesy,Saving Throw,Promote to 1st-level,4.5-10.1 expected; 2.5 listed,Strong rider: reduced damage budget,Too Low,Safe,Broaden Access,Paladin,,Added thematic access for Paladin,Keep Action,Add Damage Scaling,Acceptable,Promoted from cantrip to 1st level; Added Paladin access
Hollow Gaze,Saving Throw,Promote to 1st-level,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level; Removed Sorcerer access
Hollow Stare,Saving Throw,Promote to 1st-level,No explicit damage formula,Strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level
Jagged Step,Saving Throw,Keep as Cantrip,3.5-5.5 expected; 3.5 listed,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Lantern of the Forgotten,Saving Throw,Promote to 1st-level,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Narrow Access,Cleric,Sorcerer,Added thematic access for Cleric; Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Needs Manual Review,Promoted from cantrip to 1st level; Added Cleric access; Removed Sorcerer access; Review unclear damage
Listening to the Living Ground,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Artificer,Bard,Added thematic access for Artificer; Removed non-thematic/high-level access for Bard,Keep Action,No Upcast Needed,Acceptable,Added Artificer access; Removed Bard access
Log,Automatic with prerequisite,Keep as Cantrip,3.5-5.5 expected; 2.5 listed,No strong rider,Too Low,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Keep Action,No Upcast Needed,Acceptable,Added Artificer access
Lurking Gloom,Saving Throw,Promote to 1st-level,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level; Removed Sorcerer access
Mage Sand,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Needs Dispel Method,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Needs Manual Review,Review permanent effect
Stonebound Boots,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Change to Bonus Action,No Upcast Needed,Acceptable,Bonus Action casting
Mindsling,Spell Attack,Promote to 1st-level,4.5-10.1 expected; 4.5 listed,Strong rider: reduced damage budget,Acceptable,Safe,Broaden Access,Paladin,,Added thematic access for Paladin,Keep Action,Add Damage Scaling,Acceptable,Promoted from cantrip to 1st level; Added Paladin access
Missing Ledger,Automatic with prerequisite,Promote to 1st-level,No explicit damage formula,Strong rider,Acceptable,Safe,Narrow Access,Artificer,Sorcerer,Added thematic access for Artificer; Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level; Added Artificer access; Removed Sorcerer access
Misthreaded Record,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Bard, Sorcerer","Removed non-thematic/high-level access for Bard, Sorcerer",Change to Bonus Action,No Upcast Needed,Acceptable,"Removed Bard, Sorcerer access; Bonus Action casting"
Momentum Shockwave,Saving Throw,Promote to 1st-level,2.9-8.1 expected; 3.5 listed,Strong rider: reduced damage budget,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,Promoted from cantrip to 1st level
Mothlight,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,No Upcast Needed,Acceptable,Removed Sorcerer access
Mystic Mussel,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Warlock,Bard,Added thematic access for Warlock; Removed non-thematic/high-level access for Bard,Keep Action,No Upcast Needed,Acceptable,Added Warlock access; Removed Bard access
Opulent Glare,Saving Throw,Promote to 1st-level,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level; Removed Sorcerer access
Oxidized Strike,Spell Attack,Promote to 1st-level,4.5-10.1 expected; 3.5 listed,Strong rider: reduced damage budget,Too Low,Safe,Narrow Access,"Artificer, Druid, Paladin",Sorcerer,"Added thematic access for Artificer, Druid, Paladin; Removed non-thematic/high-level access for Sorcerer",Keep Action,Add Damage Scaling,Acceptable,"Promoted from cantrip to 1st level; Added Artificer, Druid, Paladin access; Removed Sorcerer access"
Pale Effigy,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Sorcerer, Wizard","Removed non-thematic/high-level access for Sorcerer, Wizard",Keep Action,No Upcast Needed,Acceptable,"Removed Sorcerer, Wizard access"
Poltergust,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Sorcerer, Wizard","Removed non-thematic/high-level access for Sorcerer, Wizard",Keep Action,No Upcast Needed,Acceptable,"Removed Sorcerer, Wizard access"
Psyblade,Automatic with prerequisite,Keep as Cantrip,3.5-5.5 expected; 2.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Pummel Stone,Saving Throw,Promote to 1st-level,4.5-10.1 expected; 4.5 listed,Strong rider: reduced damage budget,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,Promoted from cantrip to 1st level
Radiant Shine,Saving Throw,Keep as Cantrip,3.5-5.5 expected; 3.5 listed,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Rail Arc,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Wizard,Removed non-thematic/high-level access for Wizard,Keep Action,No Upcast Needed,Acceptable,Removed Wizard access
Resonant Clang,Saving Throw,Promote to 1st-level,5.9-10.8 expected; 3.5 listed,No strong rider,Too Low,Safe,Broaden Access,"Cleric, Paladin",,"Added thematic access for Cleric, Paladin",Keep Action,Add Damage Scaling,Acceptable,"Promoted from cantrip to 1st level; Added Cleric, Paladin access"
Reverb Cloak,Automatic with prerequisite,Promote to 1st-level,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Ranger,Bard,Added thematic access for Ranger; Removed non-thematic/high-level access for Bard,Keep Action,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level; Added Ranger access; Removed Bard access
Rhythmic Movement,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Artificer,Bard,Added thematic access for Artificer; Removed non-thematic/high-level access for Bard,Keep Action,No Upcast Needed,Acceptable,Added Artificer access; Removed Bard access
Runes of Inconsequence,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Change to Bonus Action,No Upcast Needed,Acceptable,Bonus Action casting
Sanguine Ink,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Bard,Removed non-thematic/high-level access for Bard,Keep Action,No Upcast Needed,Acceptable,Removed Bard access
Scorned Mark,Automatic with prerequisite,Promote to 1st-level,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Change to Bonus Action,Needs Manual Review,Needs Manual Review,Promoted from cantrip to 1st level; Added Artificer access; Bonus Action casting; Review unclear damage
Season,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Bard, Sorcerer","Removed non-thematic/high-level access for Bard, Sorcerer",Keep Action,No Upcast Needed,Acceptable,"Removed Bard, Sorcerer access"
Seduce Hollows,Saving Throw,Keep as Cantrip,3.5-5.5 expected; 3.5 listed,No strong rider,Acceptable,Safe,Remove Classes,,Bard,Removed non-thematic/high-level access for Bard,Keep Action,No Upcast Needed,Acceptable,Removed Bard access
Severed Whisper,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Bard, Sorcerer","Removed non-thematic/high-level access for Bard, Sorcerer",Keep Action,No Upcast Needed,Acceptable,"Removed Bard, Sorcerer access"
Shatter Step,Saving Throw,Keep as Cantrip,3.5-5.5 expected; 3.5 listed,No strong rider,Acceptable,Safe,Remove Classes,,Wizard,Removed non-thematic/high-level access for Wizard,Keep Action,No Upcast Needed,Acceptable,Removed Wizard access
Shifting Hallway,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Sorcerer, Wizard","Removed non-thematic/high-level access for Sorcerer, Wizard",Keep Action,No Upcast Needed,Acceptable,"Removed Sorcerer, Wizard access"
Sibilant Murmurs,Saving Throw,Promote to 1st-level,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Sorcerer, Warlock","Removed non-thematic/high-level access for Sorcerer, Warlock",Keep Action,Needs Manual Review,Acceptable,"Promoted from cantrip to 1st level; Removed Sorcerer, Warlock access"
Silhouette Link,Environmental with avoidance rules,Promote to 1st-level,No explicit damage formula,Strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level
Slitherword,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,No Upcast Needed,Acceptable,Removed Sorcerer access
Solid Footing,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Soothing Pulse,Automatic with prerequisite,Keep as Cantrip,3.5-5.5 expected; 2.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Spectral Utensil,Automatic with prerequisite,Keep as Cantrip,3.5-5.5 expected; 2.5 listed,No strong rider,Too Low,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,No Upcast Needed,Acceptable,Removed Sorcerer access
Spellgraft,Spell Attack,Promote to 1st-level,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Needs Manual Review,Promoted from cantrip to 1st level; Removed Sorcerer access; Review unclear damage
Splinter Dart,Spell Attack,Needs Manual Review,9.0-13.5 expected; 3.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Splintered Reflection,Saving Throw,Keep as Cantrip,3.5-5.5 expected; 3.5 listed,No strong rider,Acceptable,Safe,Remove Classes,,Bard,Removed non-thematic/high-level access for Bard,Keep Action,No Upcast Needed,Acceptable,Removed Bard access
Stillness of the Grave,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Sundersoul,Saving Throw,Keep as Cantrip,2.3-4.4 expected; 3.5 listed,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Surefooted Leap,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Tenderize,Saving Throw,Promote to 1st-level,9.0-13.5 expected; 2.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,Promoted from cantrip to 1st level
Thoughtseed,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,No Upcast Needed,Acceptable,Removed Sorcerer access
Tremor Sign,Saving Throw,Promote to 1st-level,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Bard, Warlock","Removed non-thematic/high-level access for Bard, Warlock",Keep Action,Needs Manual Review,Acceptable,"Promoted from cantrip to 1st level; Removed Bard, Warlock access"
Tweak/Goose,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Artificer,Bard,Added thematic access for Artificer; Removed non-thematic/high-level access for Bard,Keep Action,No Upcast Needed,Acceptable,Added Artificer access; Removed Bard access
Veilborn Glimmer,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,Strong rider,Acceptable,Safe,Remove Classes,,"Bard, Wizard","Removed non-thematic/high-level access for Bard, Wizard",Change to Bonus Action,No Upcast Needed,Acceptable,"Removed Bard, Wizard access; Bonus Action casting"
Verdant Renewal,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Needs Manual Review,Review unclear damage
Wardrobe Malfunction,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Druid,"Bard, Sorcerer, Warlock","Added thematic access for Druid; Removed non-thematic/high-level access for Bard, Sorcerer, Warlock",Keep Action,No Upcast Needed,Acceptable,"Added Druid access; Removed Bard, Sorcerer, Warlock access"
Wisp of the Forgotten,Saving Throw,Promote to 1st-level,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Narrow Access,Cleric,"Bard, Sorcerer","Added thematic access for Cleric; Removed non-thematic/high-level access for Bard, Sorcerer",Keep Action,Needs Manual Review,Needs Manual Review,"Promoted from cantrip to 1st level; Added Cleric access; Removed Bard, Sorcerer access; Review unclear damage"
Word Stricken from the Record,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Arouse,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Needs Manual Review,Acceptable,Added Druid access
Barriers of Officialism,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,"Cleric, Paladin",,"Added thematic access for Cleric, Paladin",Keep Action,Needs Manual Review,Acceptable,"Added Cleric, Paladin access"
Bogbolt,Saving Throw,Needs Manual Review,9.0-13.5 expected; 4.5 listed,No strong rider,Too Low,Safe,Broaden Access,Paladin,,Added thematic access for Paladin,Keep Action,Add Damage Scaling,Acceptable,Added Paladin access
Bonechant Bloom,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Change to Reaction,Needs Manual Review,Acceptable,Reaction casting
Borrowed Chance,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Warlock,Removed non-thematic/high-level access for Warlock,Keep Action,Needs Manual Review,Acceptable,Removed Warlock access
Borrowed Momentum,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,"Cleric, Paladin",Bard,"Added thematic access for Cleric, Paladin; Removed non-thematic/high-level access for Bard",Keep Action,Needs Manual Review,Acceptable,"Added Cleric, Paladin access; Removed Bard access"
Cloak of the Mason’s Shadow,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Narrow Access,"Artificer, Druid",Sorcerer,"Added thematic access for Artificer, Druid; Removed non-thematic/high-level access for Sorcerer",Change to Bonus Action,Needs Manual Review,Acceptable,"Added Artificer, Druid access; Removed Sorcerer access; Bonus Action casting"
Coitus Compulsum,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Narrow Access,Wizard,Sorcerer,Added thematic access for Wizard; Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Added Wizard access; Removed Sorcerer access
Drain Cognition,Saving Throw,Needs Manual Review,9.0-13.5 expected; 2.5 listed,No strong rider,Too Low,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Removed Sorcerer access
Eternal Etching,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Needs Manual Review,Broaden Access,Ranger,,Added thematic access for Ranger,Change to Bonus Action,Needs Manual Review,Needs Manual Review,Added Ranger access; Bonus Action casting; Review unclear damage; Review permanent effect
Fingerbang,Spell Attack,Needs Manual Review,9.0-13.5 expected; 7.0 listed,No strong rider,Too Low,Safe,Narrow Access,Paladin,Warlock,Added thematic access for Paladin; Removed non-thematic/high-level access for Warlock,Keep Action,Add Damage Scaling,Acceptable,Added Paladin access; Removed Warlock access
Splintered Howl,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Giocrin's Nostalgia,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Change to Reaction,Needs Manual Review,Acceptable,Removed Sorcerer access; Reaction casting
Glossolalia Error,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Gourds and Wharfs,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Keep Action,Needs Manual Review,Acceptable,Added Artificer access
Greaseproof Grip,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Sorcerer, Warlock","Removed non-thematic/high-level access for Sorcerer, Warlock",Keep Action,Needs Manual Review,Acceptable,"Removed Sorcerer, Warlock access"
Grubby Learn-Fists,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Artificer, Paladin",,"Added thematic access for Artificer, Paladin",Change to Reaction,No Upcast Needed,Acceptable,"Added Artificer, Paladin access; Reaction casting"
Gut Instinct,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Paladin,,Added thematic access for Paladin,Change to Reaction,Needs Manual Review,Acceptable,Added Paladin access; Reaction casting
Halo Brand,Spell Attack,Needs Manual Review,9.0-13.5 expected; 2.5 listed,No strong rider,Too Low,Safe,Broaden Access,"Druid, Ranger",,"Added thematic access for Druid, Ranger",Keep Action,Add Damage Scaling,Acceptable,"Added Druid, Ranger access"
Hunter’s Unerring Mark,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,Cleric,,Added thematic access for Cleric,Keep Action,Needs Manual Review,Acceptable,Added Cleric access
Huruma’s Immediate Recall,Automatic with prerequisite,Needs Manual Review,4.5-10.1 expected; 2.5 listed,Strong rider: reduced damage budget,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
