Name,Ancestor,Demonym,Size Category,Min Height,Max Height,Average Build,Sexual Dimorphism,Skull Shape,Brow Structure,Facial Hair,Nose,Jaw Structure,Dentition,Defensive Growth,Ear Type,Eye Count,Eye Shape,Eye Color Range,Secondary Vision Traits,Skin Texture,Skin Thickness,Complexion,Markings,Hair Presence,Hair Texture,Hair Color Range,Secondary Covering,Arm Count,Leg Count,Limb Proportions,Hand Structure,Number of Digits,Foot Structure,Posture,Tail,Spine,Evolutionary Path,Planar Influence,Environmental Adaptation,Hybridization,Gamete Logic,Transfer Interface,Gestation Method,Vestigial Traits,Lifespan Average,Aging Markers,Youth Markers,Youth Traits,Elder Traits,Typical Grooming,Ornamentation,Status Indicators,Facial Expression Norms
Eidolons,Ancient Race,Eidolons,Medium,"4'0""","8'0""",Variable constructed frame,None,Non-anthropomorphic or improvised,None,None,None,None,None,Construct body,None,Variable,Runic aperture or none,"Cold white, cyan",None,"Stone, metal, wood, cloth, or other vessel material",Fragmented and crystalline,Material-dependent,Glowing runes and embedded sigils,None,None,None,Construct plating,Variable,Variable,Frame-dependent,Frame-dependent,Variable,Frame-dependent,Rigid or hovering,None,None,Geometric segmentation,,Manifested construct,Non-physical environments,No Gametes,,Metaphysical,,Adulthood at fully formed when a stellar soul enters a vessel; typical lifespan 500 years or more before the soul or vessel fails.,,Structural erosion,,Loss of cohesion,Vessel surfaces repaired and maintained according to their material and chosen identity,"Embedded sigils, star symbols, relic fragments, and objects carried across rebirths",Embedded sigils,Silent and unreadable
Emrelan,Moeder,Emrelan,Medium,"5'4""","6'4""",Lean and athletic,Low,Refined humanoid,Refined and high-set,Minimal,Straight and narrow,Lean and angular,,None,Human-like,2,"Narrow, opaline","White opaline, pale amber",Normal Vision,"Dark matte, light-absorbing",,Deep umber to black,Thermochromic red-orange freckles,"Bright, dense, and fibrous",,"Pale copper, bone-white, ember-gold",None,2,2,,Five-fingered,5,Plantigrade,Upright,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at late teens; typical lifespan 90 to 130 years.,,,,,"Fibrous hair worn loose or gathered in rhythmic, symmetrical arrangements","Solar-thread bands, light-catching metals, and restrained infrastructure or office emblems",,Calm and self-possessed
Hollow,,Hollow,Medium,"5'10""","6'8""","Tall, extremely slender, and wasted",Low,Elongated humanoid,Sunken and shadowed,None,Thin and sharp,Narrow and wasted,,None,Human-like,2,Fully black,Void black,,Pale and dull,,Chalk white to corpse-grey,Darkened eye sockets and visible ribs,"Long, straight, platinum-white",,Platinum white,None,2,2,,Five-fingered,5,Plantigrade,Slightly stooped,None,,,,,,,,,,Adulthood at fully formed rather than born; typical lifespan indefinitely unless destroyed or deprived of sustaining conditions.,,,,,"Long pale hair left plain, evenly cut, or bound by repetitive ritual","Minimal symbolic bands, faded uniforms, and tokens stripped of personal flourish",,Vacant and mournful
Humans,Moeder,Humans,Medium,"4'8""","6'8""",Highly variable,Medium,Highly variable humanoid,Highly variable,Full,Highly variable,Highly variable,,None,Human-like,2,Highly variable,,,Highly variable,,Full human range,"Freckles, scars, tattoos, and regional variation",Variable,,,None,2,2,,Five-fingered,5,Plantigrade,Upright,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at late teens; typical lifespan 70 to 90 years.,,,,,"Highly variable by region, occupation, faith, fashion, and personal means","Jewelry, tattoos, tools, uniforms, religious symbols, and borrowed cultural styles",,
Imperatum,Auctorion,Imperian,Medium,"5'4""","6'4""",Slender and composed,Low,Refined humanoid,Smooth and composed,Full,Human-like and straight,Controlled and human-like,,None,Slightly pointed,2,"Steady, human-like",,,Smooth,,Pale to medium human-adjacent tones,Subtle axis-like facial lines,Fine and restrained,,,None,2,2,,Five-fingered,5,Plantigrade,Rigidly composed,None,,,,,,"Ova-producing, Sperm-producing","Penetrative, Receptive canal",Metaphysical,,Adulthood at late teens; typical lifespan 80 to 120 years.,,,,,"Restrained and orderly grooming aligned to role, directive, or institutional custom","Purposeful insignia, office dress, directional motifs, and objects tied to a directive",,
Ithilari,Luminari,Ithilari,Medium,"5'8""","6'6""",Tall and slender,Low,Refined and elongated,Defined but not heavy,None,Human-like,Neutral,Human-standard,None,Long pointed,2,"Narrow, star-lit","White, violet, star-like",Low-light adaptation,Smooth and luminous,Normal,"Permanent lavender, silver, rose, or chromatic hue",Subtle chromatic radiance,Very long and flowing,Straight or lightly wavy,"Lavender, silver, rose",None,2,2,Long-limbed,Five-fingered,5,Plantigrade,Upright,None,Normal,Veil-adapted,Veil,Liminal and low-light spaces,Rare and unstable,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 50 years; typical lifespan 700 to 900 years.,Increased light aversion,,Sharper gaze,Diminished eye glow,Very long luminous hair worn loose and immaculate,"Formal jeweled garments, chromatic accents, and carefully balanced celestial motifs",Eye glow clarity; composure,Withdrawn and observant
Kairos,Dreamscape,Kairos,Medium,"5'2""","6'4""",Slender and theatrical,Low,Elegant humanoid,Clean and defined,None,Human-like,Precise,Human-standard,None,Human-like,2,Luminous and expressive,"Gold, violet, silver",Temporal focus,Smooth with emotional shimmer,Normal,Dark neutral to pale silver,Fine luminous facial tracery,"Dramatic, fluid, and light-like",Straight,"Black, silver, prismatic light",None,2,2,Balanced,Five-fingered,5,Plantigrade,Expressive and deliberate,None,Normal,,Chrono-engineered,None,Structured environments,No Gametes,Energetic,No Gestation,,Adulthood at late teens; typical lifespan 90 to 140 years.,,Subtle desynchronization,,Rigid symmetry,Dramatic hair and presentation shaped to support the intended emotional effect,"Layered ceremonial robes, luminous jewelry, rhetorical symbols, and statement pieces",None,Persuasive and theatrical
Kerevahn,Vorthirith,Kerevahn,Medium,"6'0""","7'0""","Tall, gaunt, and elongated",Low,Long and narrow,"High, gaunt, and severe",None,Long and narrow,Long and narrow,,None,Elongated pointed,2,"Deep-set, pupil-less",Glowing silver or pitch black,Darkvision 60 ft.,Faintly translucent and weathered,,Pale grey to ashen,"Runic tattoos, bindings, and anchor scars","Long, fine, and pale",,"White, silver-grey",None,2,2,,Five-fingered,5,Plantigrade,Rigid and otherworldly,None,,,,,,No Gametes,Energetic,Internal Gestation,,"Adulthood at fully formed or mature by roughly 30 years; typical lifespan several centuries, with survival determined by the strength of their material anchor.",,,,,Long pale hair left loose or secured with anchoring bindings,"Runic bindings, stabilizing relics, anchor tattoos, and material-world keepsakes",,Distant and solemn
Korrak,"Lithic Ancestor,Zakariss Ancestor",Korrak,Large,"5'2""","5'8""","Compact, dense, and heavily plated",None,Rounded and armored,Armored and plated,None,Minimal beneath plating,Armored and grill-like,Obscured,Hardened dermal plates,Human-like,2,Small and deep-set,"Dull red, grey","Your industrial-honed senses grant you Darkvision up to 60 feet. You can see in dim light and darkness as if it were bright light, but only in shades of dull red and gray.","Cracked, stratified dermal plates",,"Ash grey, rust brown, and charcoal",Fissures and slag-like growth patterns,Absent,,,Overlapping stone-like plates,2,2,,Five-fingered,5,Plantigrade,Hunched and braced,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",No Gestation,,Adulthood at 15 years; typical lifespan 50 to 70 years.,,,,,"Dermal plates scraped clean, patched, and sealed; little cosmetic grooming","Reinforcement straps, industrial badges, salvaged plates, and practical tool harnesses",,Unreadable beneath facial plating
Luminari,Lumix,Luminari,Medium,"5'8""","6'8""","Tall, serene, and slender",Low,Refined humanoid,Smooth,None,Human-like,Narrow,Human-standard,None,Human-like,2,"Layered, star-like","White-gold, silver, star-like",Luminescent retinal glow,Opaline and translucent,Normal,"Pearl-white, silver-blue, pale gold, or rose",Subdermal constellations and luminous channels,Weightless and light-like,Straight,"White-gold, silver, dawn-pink, moonlit blue",None,2,2,Long-limbed,Five-fingered,5,Plantigrade,Graceful and floating,None,Normal,Energetic adaptation,Everbright spillover,Dense urban centers,Possible with humans,No Gametes,Energetic,No Gestation,,"Adulthood at 80 years; typical lifespan several millennia, often through repeated cycles of return.",Glow instability,,Soft ambient glow,Glow reduction,Weightless hair worn flowing; luminous skin and channels kept clear and unobscured,"Light-like filaments, refined jewelry, halo motifs, and translucent formal garments",Eye glow intensity; skin clarity,Serene and distant
Lysorian,Dren,Lysorian,Medium,"5'10""","6'8""","Tall, slender, and long-limbed",Low,Long and angular,High and angular,Sparse,Long and narrow,Long and narrow,,None,Small pointed,2,"Very large, dark, and reflective","Black, very dark brown",Low-light vision,"Fine, creased, and parchment-like",,Pale stone to parchment beige,Fine age-like creases,"Sparse, straight, and tied back",straight,"Grey, brown, black",None,2,2,,Five-fingered,5,Plantigrade,Reserved and upright,None,,,,,,"Sperm-producing, Ova-producing",Cloacal,External Brood,,Adulthood at late teens; typical lifespan 140 to 180 years.,,,,,"Long straight hair tied back in simple, functional styles","Archival wraps, writing tools, scholarly seals, and restrained institutional insignia",,Watchful and inward-focused
Mireborn,Shadow,Mireborn,Medium,"5'0""","6'8""","Tall, emaciated, and drifting",Low,Elongated humanoid,Sunken and hollowed,Absent,Thin and water-worn,Narrow and slack,,None,Human-like,2,"Dark, clouded, or reflective","Black, clouded grey, deep-water reflective",,"Waxy, slick, and waterlogged",,"Blue-white, bog-grey, or corpse-pale",Visible pale veins and rib-like striations,"Long, heavy, and damp",,"White, grey, black",None,2,2,,Five-fingered,5,Plantigrade,Slow and drifting,None,,,,,,No Gametes,Energetic,No Gestation,,Adulthood at 25 years; typical lifespan 120 to 160 years.,,,,,Long damp hair left hanging or threaded with marsh and funerary materials,"Funerary threads, reeds, silt-stained keepsakes, and remnants recovered from the drowned",,
Mistaryn,"Fish Ancestor,Ancient Veil Race",Mistaryn,Medium,"5'6""","6'8""","Slender, elongated, and amphibious",Low,Smooth aquatic humanoid,Smooth and low,None,Small and flattened,Small and tapered,,Fin-like head tendrils,Fin-like head tendrils,2,Large and dark,"Black, deep blue",,Smooth with a wet sheen,,Pale blue to blue-green,Gill slits and ribbed aquatic contours,Absent,,None,Vestigial gills and webbing,2,2,,Long webbed fingers,5,Webbed plantigrade feet,Fluid and upright,None,,,,,,"Sperm-producing, Ova-producing",Cloacal,External Brood,,Adulthood at 30 years; typical lifespan 180 to 240 years.,,,,,"Skin, gills, fins, and webbing kept hydrated and free of abrasive residue","Waterproof cords, shell or glass pieces, current-marked fabrics, and aquatic tools",,Quiet and observant
Myrleth,Lithic Ancestor,Myrleth,Small,"2'6""","3'2""","Small, compact, and crouched",None,Rounded lithic humanoid,Rocky and protruding,None,Small and flattened,Small and rounded,,Crystal clusters,Human-like,2,"Large, jewel-like","Amber, violet, jewel-like",,Rocky with mineral inclusions,,"Earth brown, slate, and mica-grey",Crystalline veins and gemstone clusters,Absent,,,Crystalline growths,2,2,,Small claw-like fingers,5,Plantigrade,Crouched and grounded,None,,,,,,"Sperm-producing, Ova-producing",Receptive canal,External Brood,,Adulthood at 4 years; typical lifespan 400 to 500 years.,,,,,"Crystal growths cleaned, tuned, and selectively shaped rather than removed","Crystals, carved runes, tiny maps, protective marks, and practical lanterns",,Curious and intent
Naureli,Seahorse ancestor,Naureli,Medium,"5'4""","6'4""","Slender, bipedal, and amphibious",Low,Elongated seahorse-like,Smooth cranial ridge,None,Elongated seahorse-like snout,Small and tapered,,Neck and cranial fin-crests,Fin crests,2,Large and dark,"Black, deep blue",,Fine iridescent scales,,"Blue, teal, and pearlescent",Gold iridescent patterning,Absent,,,Scales and frills,2,2,,"Palmed, subtly webbed fingers",5,"Plantigrade, possibly webbed",Upright,None,,,,,,"Sperm-producing, Ova-producing",Receptive canal,Internal Gestation,,Adulthood at 30 years; typical lifespan 180 to 260 years.,,,,,Scales polished and hydrated; fin-crests carefully arranged for formal presentation,"Fine gold patterning, courtly robes, aquatic metals, and crest-emphasizing jewelry",,Dignified and attentive
Ordonants,,,Medium,"6'0""","7'2""","Tall, extremely slender, and long-limbed",None,Elongated masked or crested,Concealed by mask or crest,None,Proboscis-like or masked,Narrow and concealed,Not visible,Cranial crest and shoulder spines,None visible,,Not visible beneath facial structure,,,Smooth chitinous or ceramic,,Bone-white and dark brown,Segmented facial and body panels,Absent,,,Chitinous plates,2,2,Extremely elongated,"Long, narrow fingers",5,Plantigrade,Formal and upright,None,,,,,,,,,,Adulthood at 20 years; typical lifespan 100 to 150 years.,,,,,"Body panels, crest, and mask-like features kept geometrically immaculate","Architectural collars, ceremonial staffs, geometric panels, and office-specific regalia",,Unreadable
Orphai,Dreamscape,Orphai,Medium,"5'8""","6'8""","Tall, slender, and fluid",Low,Elongated and subtly distorted,Smooth,None,Human-like,Fluid,Human-standard,None,Long pointed,2,Deep and liquid,"Black, grey, muted violet",None,Parchment-like and shifting,Thin,"Ash-pale, faded ink, or muted violet",Painterly cracks and blurred edges,"Fine, dark, and threadlike",Variable,"Black, silver-grey, indigo, white",None,2,2,Long-limbed,Five-fingered,5,Plantigrade,Slightly out of sync,None,Flexible,,Metaphysical divergence,None,Liminal and transitional spaces,No Gametes,Energetic,No Gestation,,Adulthood at 30 years; typical lifespan 180 to 250 years.,,Fading edge definition,,Loss of cohesion,Fine hair worn loose and allowed to drift; unstable edges are rarely concealed,"Loose adaptive layers, memory tokens, faded inks, and asymmetrical transitional pieces",None,Remote and subtly distressed
Oteisha,Pykari,Oteisha,Small,"3'0""","4'0""","Small, compact, and light-footed",Low,"Broad, fine-featured humanoid",Heavy and wrinkled,Some,Small and broad,Small and rounded,,None,Very large and laterally pointed,2,Large and reflective,"Amber, black, milky green, rust-red",,Wrinkled and earthen,,"Grey-brown, mossy olive, or muted umber",Fungal speckling and vein-like discoloration,"Fine, wispy, or rootlike",,"Grey, brown, black",None,2,2,,Five-fingered,5,Plantigrade,Low and cautious,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",External Brood,,Adulthood at 25 years; typical lifespan 160 to 220 years.,,,,,"Wispy or rootlike hair tied back, trimmed, or left naturally fibrous","Small charms, medicinal bundles, lanterns, spore vessels, and layered weatherwear",,
Penduran,,Penduran,Medium,"4'8""","5'8""",Compact and smooth-bodied,Unknown,"Broad, rounded, and multi-eyed",Smooth and multi-eyed,None,Small and beak-like,Small and recessed,Not visible,None,None visible,6,"Small, glossy, clustered",Glossy black,,Smooth with fine scales,,Deep cobalt blue,Dark cranial seams,Absent,,,None,2,2,,Five-fingered,5,Plantigrade,Upright,None,,,,,,,,,,Adulthood at 20 years; typical lifespan 110 to 160 years.,,,,,Smooth scales cleaned and lightly polished; cranial seams left visible,"Compact collars, polished stones, symmetrical bands, and multi-eyed symbolic motifs",,Unreadable but alert
Pykari,Tyrikai,Pykari,Small,"2'8""","3'4""","Very small, compact, and agile",Low,Rounded humanoid,Soft and rounded,Some,Small and flat,Small and rounded,,None,Large sharply pointed,2,Very large almond,"Amber, copper, molten orange","Your connection to the Ashen Spiral grants you Darkvision up to 60 feet. You see the world in shades of deep red and orange, as if embers still smolder in the shadows.",Smooth and matte,,Obsidian black,Faint ember sheen,Thick and tightly curled,thick,"Black, dark brown, ember-red, copper",None,2,2,,Five-fingered,5,Plantigrade,Alert and upright,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",External Brood,,Adulthood at 15 years; typical lifespan 160 to 200 years.,,,,,Short curls worn naturally or quickly shaped for travel and heat,"Small ember charms, practical leatherwork, scavenged trinkets, and compact protective gear",,Alert and guarded
Skelbraith,Delvani,Skelbraith,Medium,"5'0""","6'0""","Compact, broad, and powerful",Low,Broad humanoid,Heavy with central third-eye ridge,Full,Broad and flattened,Broad and firm,,None,Pointed,3,Primary pair plus small forehead eye,"Red, blue, gem-bright",,"Smooth, weathered mineral skin",,"Storm blue, slate, and salt-cyan","Salt wear, scars, and a gem-like third eye",Coarse; short or tied back,,"Black, brown, auburn",None,2,2,,Five-fingered,5,Plantigrade,Braced and ready,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 16 years; typical lifespan 50 to 70 years.,,,,,"Hair kept short or tied back; the third eye is cleaned, covered, or displayed by purpose","Navigation gems, goggles, storm gear, ship tokens, and third-eye framing jewelry",Visibility and brightness of the third eye,
Teleryn,"Dunavald,Maligath Ancestor",Teleryn,Medium,"5'8""","6'10""","Broad, tall, and powerfully muscular",Low,Broad and heavy,Heavy and pronounced,Common,Broad,Broad with upward tusks,Prominent tusks,Prominent tusks,Very large and pendulous,2,Deep-set,"Amber, brown, dark red",,Smooth to weathered,,Rust-red to burnt ochre,"Travel scars, tattoos, and ritual ash","Coarse; long, braided, or locked",,"Black, dark brown, rust",None,2,2,,Five-fingered,5,Plantigrade,Low and grounded,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 16 years; typical lifespan 60 to 80 years.,,,,,"Coarse hair worn in braids, knots, shaved patterns, or practical road cuts","Clan tattoos, contract tokens, ritual ash, beast-bond charms, and travel-earned trophies",,
Thornkin,Verdant Cradle,Thornkin,Medium,"5'0""","7'0""","Tall, lean, and branch-limbed",None,Root- and branch-formed,Branch-formed ridges,Absent,Carved wood-like,Root-formed and angular,,Thorns and branches,None,2,"Recessed, luminous","Amber, green, luminous yellow",,"Bark, roots, and vines",,Pale wood to dark bark,"Growth rings, sap seams, and moss",Branch and vine growths,,"Branches, leaves, and vines","Leaves, moss, flowers, and vines",2,2,,Root- and branch-like fingers,5,Rooted plantigrade feet,Upright,None,,,,,,"Sperm-producing, Ova-producing",Dermal,External Brood,,"Adulthood at 30 years; typical lifespan 200 to 300 years, with rooted elders sometimes surviving much longer.",,,,,"Seasonal pruning, cultivation, grafting, and removal of harmful growth","Living flowers, moss, fungi, seedpods, woven vines, and cultivated seasonal displays",,
Tyrikai,Demons,Tyrikai,Small,"3'5""","4'5""","Small, lean, and wiry",Low,Sharp and slightly elongated,Sharp and arched,Sparse,Small and pointed,Narrow with visible fangs,Sharp visible fangs,Paired curled horns,Large sharply pointed,2,Wide-set and bright,"Amber, gold, violet, ember-brown",,Rough and heat-worn,,"Crimson, rust-red, or maroon",Heat scars and dark striping,"Short, wiry, and dark",,"Black, dark brown, soot-red",None,2,2,,Five-fingered,5,Plantigrade,Low and ready,"Long, thin, pointed tail",,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",External Brood,,Adulthood at 12 years; typical lifespan 70 to 100 years.,,,,,"Short wiry hair, horns, and tail kept practical for heat and sudden movement","Survival trophies, horn bands, scavenged metal, heat-resistant wraps, and clan marks",,Animated and defiant
Umbranauts,Ancient Veil Race,Umbranauts,Medium,"5'2""","6'2""",Slender beneath enclosed suits,Low,Soft humanoid,Soft and subtle,None,Small and low,Soft and narrow,,None,Human-like or concealed,2,Large and dark,Black or very dark,Darkvision 60 ft,Smooth and pale,,Low-pigment pale tones,Suit route and family markings,Absent or concealed,,,Fully enclosed pale veilsuit,2,2,,Five-fingered,5,Plantigrade,Upright,None,,,,,,Ova-producing,Cloacal,External Brood,,Adulthood at late teens; typical lifespan 120 to 160 years.,,,,,Bodies kept contamination-free; sealed veilsuits meticulously cleaned and maintained,"Route, family, and contract markings stitched or etched onto veilsuits",Suit markings and mastered-route symbols,
