Images,Spell Name,Page,Source,Foundry Tag,,Tag ABRV,Theme,Class,New Class,Level,School,School ABRV,Description,Notes,Clarification,Table,Flavor,Quotes,Damage,Damage Type,Condition,Saving Throw,Success,Fail,Skill Check,Ability Check,DC,Ritual,Techno Magic,Casting Time,Casting Unit,Casting Type,Trigger,Duration,Duration Type,Duration Amount,Duration Unit,Up To,Concentration,Range,Range Type,Range Unit,Range Distance,Area,Area Type,Area ABRV,Area Unit,Area Distance,Components,Components ABVR,Component Description (Material),Component Description (Somatic),Component Description (Verbal),Terrain,Terrain Effect,Consecrated / Desecrated,Cost,Blood Pact,Blood Pact Effect,Arcane Strain,References SRD,Image Url,DDB,WA,DDB Sync Status,DDB Sync Error,DDB Last Synced,DDB Publish Status
,Directional Sense,0,ORIO,Grants Advantage,Grants Advantage,ADV,,Sorcerer,Architect,0-Cantrip,Evocation,V,"You briefly attune your awareness to subtle spatial cues, allowing instinct and perception to align.

For the duration, you gain a faint sense of orientation toward a location or direction you specify when casting the spell. This sense does not reveal exact routes or hidden passages, but provides a persistent intuitive impression of general bearing.

While the spell persists:

• You have advantage on Wisdom (Survival) checks made to navigate, track direction, or avoid becoming lost.
• You have advantage on checks made to resist becoming disoriented or confused by natural environmental effects such as twisting corridors, dense terrain, or shifting landmarks.

This spell does not reveal concealed doors, bypass physical barriers, or penetrate magical effects that obscure space or perception. Illusions, magical mazes, and extradimensional distortions function normally.",,,,"The flow of energy pulses through the stone beneath your feet, and your senses expand beyond your immediate surroundings. As the pulse of magic spreads outward, the shifting walls of a labyrinth reveal their true layout, and you are guided with an unnatural certainty toward your destination.",,,,,,,,,,,FALSE,FALSE,Action,1,Action,,10 minutes,,10,Minutes,FALSE,FALSE,Self,Point,,Self,,,,,,"Verbal, Somatic, Terrain","V, S, T",,tapping your chin with your index finger,whispering 'orient' three times,Endless Hallways,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/directional%20sense.png,3137262,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:57:19,
,Dirge Pulse,0,ORIO,,,,,"Cleric, Sorcerer, Warlock","Medic, Cultist",0-Cantrip,Necromancy,N,"You emit a low, mournful resonance that brushes against fading consciousness.

Choose a point within range. Any creature within range that is at 0 hit points and making death saving throws gains a fleeting anchor to life.

• The next time such a creature succeeds on a death saving throw before the start of your next turn, it immediately becomes Stable.

This spell has no effect on creatures that are not making death saving throws.

If an undead creature is within range when the pulse is released, it takes 1 psychic damage.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,10 feet,Point,10,Feet,,,,,,"Verbal, Somatic","V, S",,"A gentle, sweeping motion of your hand","Mournful whisper: 'Fading light, hold fast'",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/dirge%20pulse.png,3137263,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:57:24,
,Drifting Echo,0,ORIO,Modifies AC,Modifies AC,MAC,,Cleric,"Parascientist, Cultist",0-Cantrip,Divination,D,"You attune your perception to faint temporal residues, sensing the dying impressions of recent activity.

For the duration, you perceive vague, distorted auditory impressions of events that occurred in the area within the last hour. These echoes are fragmented and imprecise, conveying only general emotional tones, rhythms of movement, or the presence of speech rather than intelligible content.

By using your action to concentrate on a specific location within range, make an Intelligence (Investigation) check. The clarity of the impressions depends on the result:

• Low Result: You discern only indistinct murmurs, tonal shifts, or emotional residue.
• Moderate Result: You perceive recognizable patterns such as the number of speakers, intensity of movement, or general activity.
• High Result: You extract fleeting but useful details, such as isolated words, sudden disturbances, or notable anomalies, at the GM’s discretion.

This spell does not reproduce exact conversations, reveal precise identities, or function in areas where sound was magically suppressed or reality significantly distorted.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,TRUE,30 feet,Point,30,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","a small, polished stone",tapping your fingers on an imaginary surface,whispering 'echoes of the past',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/drifting%20echo.png,3137271,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:57:47,
,Dripping Hour,0,ORIO,"Requires Sight, Affects Objects","Requires Sight, Affects Objects",SGT,,"Sorcerer, Wizard","Parascientist, Anomalous",0-Cantrip,Transmutation,T,"You induce a fleeting temporal slippage in a Small or smaller object you can see within range. A faint afterimage of the object lingers where it stood a moment before, creating perceptual uncertainty.

Until the start of your next turn, the object’s position appears subtly unstable.

A creature that attempts to directly manipulate or interact with the object must make an Intelligence saving throw.

• Failure: The creature hesitates or misjudges the object’s true position. The interaction fails and produces no effect.
• Success: The creature interacts with the object normally.

This effect does not move the object, alter its properties, or prevent creatures from perceiving it. The afterimage is purely perceptual and occupies no physical space.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,10 feet,Point,10,Feet,,,,,,"Somatic, Verbal","V, S",,With a delicate flick of your fingers,As time's fabric unwinds,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/dripping%20hour.png,3137272,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137272-dripping-hour/edi",2026-02-15 17:57:50,
,Dust Veil,0,ORIO,"Requires Sight, Grants Advantage","Requires Sight, Grants Advantage",SGT,,"Sorcerer, Wizard",Architect,0-Cantrip,Illusion,I,"You stir loose particles from the surrounding terrain, momentarily shrouding yourself in a shifting haze.

When a creature you can see makes an attack roll against you, you may use your reaction to impose disadvantage on that roll.

The veil disperses immediately after the attack is resolved.

This spell produces no effect in environments devoid of loose dust, ash, sand, or similar particulate matter, at the GM’s discretion.",,,,"As you step, the ground beneath you cracks and a cloud of dust erupts into the air, swirling around your form in a cloud of obscurity. The air feels thick with sand as your enemies struggle to focus through the haze, their vision distorted by the fine particles swirling in every direction.",,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 rounds,,1,Rounds,FALSE,FALSE,Self,Point,,Self,,,,,,"Verbal, Somatic, Terrain","V, S, T",,Waving your hand in a circular motion,"Kaelin, kaelin, terra",Crumbling Concrete,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/dust%20veil.png,3137276,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:58:03,
,Murmur of What Was,0,ORIO,,,,,Wizard,Cultist,0-Cantrip,Divination,D,"You briefly attune your perception to faint residual impressions left upon a location.

You hear a single whispered sentence in a language you understand, originating from a creature that occupied your current space within the last 24 hours. The sentence is indistinct, fragmentary, and chosen by the GM. It may be relevant, trivial, misleading, or devoid of context.

If no creature has occupied the area within that time, you instead perceive a vague and meaningless murmur with no discernible content.

This spell does not reveal the identity, nature, or number of creatures that produced the impression.",,,"| DC Range | Effect Description |
|---|---|
| 10 or lower | Incoherent murmurs, difficult to interpret. |
| 11–15 | Disjointed words or partial sentences. |
| 16+ | A full phrase or clear statement relevant to the past event. |",,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,15 feet,Point,15,Feet,,,,,,"Verbal, Material","V, R","a small, polished stone",,whispering 'listen to the past',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/murmur%20of%20what%20was.png,3137282,,✅,,2026-02-15 17:58:24,
,Impression of Near Portent,0,ORIO,Creates Light,Creates Light,LGTS,,"Bard, Cleric",Hacker,0-Cantrip,Divination,D,"You briefly attune your senses to the subtle tensions of unfolding possibility, allowing reality to express itself through fleeting symbolic impressions.

For the duration, you receive a momentary sensory omen associated with the next meaningful event that occurs within range. The omen manifests as a minor, intangible sensation chosen by the GM, such as:

• A sudden chill or warmth
• A faint flicker or shimmer
• A fleeting taste or scent
• A sensation of weight or lightness
• A distant or indistinct impression

The omen is symbolic in nature and conveys no explicit information about the event’s form, source, or outcome. Its meaning, if any, is interpretive and may be ambiguous or misleading.

Once the omen manifests, the spell ends.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,15 feet,Point,15,Feet,,,,,,"Verbal, Material","V, R","a small, polished stone",,Whispers of the past,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/impression%20of%20near%20portent.png,3137283,,✅,,2026-02-15 17:58:26,
,Echoing Stomp,0,ORIO,,,,,"Bard, Sorcerer",Architect,0-Cantrip,Evocation,V,"You strike the ground with a forceful stomp, sending a concussive tremor through nearby surfaces.

Each creature within a 10-foot radius of you must make a Constitution saving throw.

• Failure: The creature takes 1d6 thunder damage and cannot take reactions until the start of its next turn.
• Success: The creature takes no damage and suffers no additional effect.

This spell produces no effect on surfaces incapable of transmitting vibration, such as deep water, loose sand, or similarly unstable terrain, at the GM’s discretion.",,,,"You stamp your foot firmly, and the floor trembles as the shockwave ripples outward, vibrating through the wood like the crack of thunder. The deafening echo unsettles your foes, leaving them dazed and vulnerable, as the ground beneath them seems to tremble with your power.",,1d6,Thunder,,,,,,,,FALSE,FALSE,Action,1,Action,,Instant,Instant,,,FALSE,FALSE,10 feetradius,Radius,10,Feet,,,,,,"Verbal, Somatic, Terrain","V, S, T",,You stomp your foot with great force,"Echoing thunder, I command!",Wooden Floor,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/echoing%20stomp.png,3137286,,❌,"Failed to create higher level: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137286-echoing-stomp",2026-02-15 17:58:46,
,Eclipse Touch,0,ORIO,,,,,"Sorcerer, Wizard",Scourge,0-Cantrip,Abjuration,A,"You trace a fleeting sigil upon a creature you can touch, marking it with a dim, transient ward.

Until the start of your next turn, the first time the target would take fire damage, reduce that damage by 1d4 (minimum 0). The sigil then fades.",,,,,,1d4,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 rounds,,1,Rounds,FALSE,FALSE,Touch,Point,,Touch,,,,,,"Somatic, Verbal","V, S",,With a gentle tracing motion,As the shadows fall,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/eclipse%20touch.png,3137287,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:58:49,
,Erased Footsteps,0,ORIO,Affects Objects,Affects Objects,OBJ,,"Sorcerer, Wizard",Runner,0-Cantrip,Transmutation,T,"You briefly distort how a surface records the passage of creatures.

Touch a non-magical surface occupying a 5-foot space. For the duration, the affected area cannot retain visible tracks, footprints, or similar traces of movement.

Creatures attempting to track movement through the area must succeed on a Wisdom (Survival) check against your spell save DC. On a failure, the surface provides no usable signs of passage.

This spell does not conceal creatures, alter sound, or mask other forms of evidence such as scent, displaced objects, or magical detection.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,FALSE,Touch,Point,,Touch,,,,,,"Somatic, Verbal","V, S",,"With a subtle hand motion,",As silence falls,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/erased%20footsteps.png,3137299,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137299-erased-footsteps/",2026-02-15 17:59:29,
,Expired Authority,0,ORIO,"Requires Sight, Modifies AC","Requires Sight, Modifies AC",SGT,,Bard,Parascientist,0-Cantrip,Enchantment,E,"You fracture a creature’s certainty at the instant it attempts to impose its will.

Choose one creature within range that you can see. If the target attempts, before the start of its next turn, to:

• Issue a command
• Enforce an instruction
• Compel behavior
• Exercise social or hierarchical authority

It must make a Charisma saving throw.

• Failure: The creature hesitates and the attempted action is delayed until the start of its next turn, wasting the original effort.
• Success: The action proceeds normally.

This spell has no effect on purely physical actions or attacks.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 rounds,,1,Rounds,FALSE,FALSE,10 feet,Point,10,Feet,,,,,,"Verbal, Somatic","V, S",,"With a subtle hand gesture,","As I command, so shall it doubt",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/expired%20authority.png,3137308,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137308-expired-authority",2026-02-15 17:59:53,
