Name,Source,Page,Category,Tags,Skill Proficiency Choice,Skill Proficiency Count,Tool Proficiency Choice,Tool Proficiency Count,Language Choice,Language Count,Equipment Text,Gold Alternative,Feature Name,Feature Type,Feature Rules Text,Feature Bullets,Personality Traits,Ideals,Bonds,Flaws,Suggested Feats,Starting Contacts,Starting Factions,Limitations,Designer Notes
Serevan Revolutionist,Vestigium,,Political,"Serevan,Rebellion",Athletics; Intimidation,2,Disguise Kit,1,Trade Pidgin,1,"Hidden weapon, coded notes",15 gp,Insurgent Access,Narrative,Revolutionary cells provide aid.,Safe Houses:: You know hidden refuges.; Coordinated Action:: Cells relay messages.,I act decisively.; I expect violence.,Change; Freedom,The regime must fall.,I escalate conflicts.,Deferred Impact,Courier Ilsek,Serevan Resistance,High risk,Militant revolutionary
Imperatum,Vestigium,,Authority,"Imperatum,Rule",Insight; Intimidation,2,,,Imperial,1,"Seal, formal attire",25 gp,Imperial Bearing,Narrative,Imperial institutions treat you as legitimate authority.,Official Channels:: You can invoke protocol.; Legal Deference:: Minor officials comply.,I command respect.; I expect order.,Authority; Stability,The Imperium defines me.,I ignore dissent.,Situational Authority,Magistrate Orel,Imperatum,Jurisdiction limited,Imperial role
Emrelan Chosen One,Vestigium,,Mythic,"Emrelan,Prophecy",Religion; Insight,2,,,Emrelan,1,"Relic token, robes",10 gp,Prophetic Mark,Narrative,Believers treat you as divinely marked.,Sacred Hospitality:: Temples shelter you.; Portent Recognition:: Omens are shared.,I feel guided.; I doubt myself.,Destiny; Faith,The prophecy binds me.,I fear failure.,Narrative Anchoring,Seer Anthis,Emrelan Faith,Burdened by expectation,Mythic pressure
Morenna's Underling,Vestigium,,Criminal,"Morenna,Underworld",Stealth; Deception,2,Poisoner’s Kit,1,Trade Pidgin,1,"Hidden blade, vial",15 gp,Shadow Patronage,Narrative,Morenna’s agents offer protection.,Underworld Cover:: Criminals hesitate.; Silent Orders:: Messages reach you.,I follow orders.; I avoid attention.,Loyalty; Survival,Morenna owns me.,I lack initiative.,Improvised Standardization,Handler Kesh,Morenna Network,Bound service,Subordinate criminal
Netherade's Don,Vestigium,,Criminal,"Netherade,Crime",Persuasion; Insight,2,Forgery Kit,1,Trade Pidgin,1,"Ledger, seal, guards",25 gp,Criminal Authority,Narrative,Criminal groups recognize your dominance.,Territorial Respect:: Rivals negotiate.; Resource Flow:: Favors move.,I plan patiently.; I expect tribute.,Power; Control,My empire must last.,I underestimate betrayal.,Operational Redundancy,Lieutenant Varn,Netherade Syndicate,Targeted by rivals,Crime lord
Brasselan Warrior,Vestigium,,Martial,"Brasselan,Warrior",Athletics; Intimidation,2,Smith’s Tools,1,Brasselan,1,"Weapon kit, armor token",10 gp,Warrior Reputation,Narrative,Brasselan respect martial honor.,Challenge Rights:: You may issue formal challenges.; Camp Respect:: Warriors listen.,I value strength.; I respect courage.,Honor; Glory,My clan legacy.,I seek conflict.,Witness of Collapse,Clan Elder Hrod,Brasselan Clans,Honor-bound,Martial culture
Brasselan Nordic Nomad,Vestigium,,Exploration,"Brasselan,Nomad",Survival; Nature,2,Navigator’s Tools,1,Brasselan,1,"Furs, sled tools",5 gp,Nomad Routes,Narrative,Nomads share paths and warnings.,Trail Lore:: You find safe routes.; Clan Welcome:: Camps host you.,I endure cold.; I watch skies.,Endurance; Freedom,My people wander.,I resist settlement.,Environmental Calibration,Pathfinder Eira,Brasselan Nomads,Seasonal limits,Nomadic survival
Weft Warden,Vestigium,,Cosmic,"Weft,Order",Arcana; Insight,2,,,Marillic,1,"Sigil, woven token",15 gp,Pattern Oversight,Narrative,Wardens recognize your authority.,Pattern Access:: You enter Weft sites.; Anomaly Notice:: Alerts reach you.,I see patterns.; I distrust chaos.,Order; Balance,The Weft must hold.,I overcontrol.,Boundary Sense,Senior Warden Threx,Weft Wardens,Bound by protocol,Cosmic custodian
Vorraki Security Officer,Vestigium,,Security,"Vorraki,Law",Athletics; Perception,2,Manacles,1,Vorraki,1,"Badge, restraints",10 gp,Enforcement Trust,Narrative,Security forces recognize your training.,Authority Presence:: Civilians comply.; Backup Access:: You call guards.,I assess threats.; I act firmly.,Safety; Order,I protect my post.,I overuse force.,Situational Authority,Captain Rask,Vorraki Security,Local authority only,Security role
Underground Ring Fighter,Vestigium,,Combat,"Underground,Fighting",Athletics; Acrobatics,2,,,Trade Pidgin,1,"Wraps, scars",10 gp,Fighter Reputation,Narrative,Fight circles recognize you.,Match Access:: You find bouts.; Wager Interest:: Bettors approach.,I live for the fight.; I test limits.,Strength; Survival,The ring defines me.,I chase danger.,Momentum Banking,Promoter Jax,Underground Rings,Injuries common,Illicit combat
Dreadmere Emissary,Vestigium,,Diplomatic,"Dreadmere,Politics",Persuasion; Insight,2,,,Dreadmere,1,"Sealed letters, cloak",20 gp,Shadow Diplomacy,Narrative,Dreadmere authorities grant passage.,Official Audience:: You can speak.; Political Cover:: Guards hesitate.,I speak carefully.; I read rooms.,Influence; Secrecy,My mission matters.,I hide truth.,Preemptive Read,Envoy Kareth,Dreadmere,Limited immunity,Diplomatic agent
Concordian Urbanite,Vestigium,,Urban,"Concordian,City",Insight; Perception,2,,,Trade Pidgin,1,"City map, keys, modest clothes",10 gp,Urban Familiarity,Narrative,You know how Concordian cities function day to day.,Street Sense:: You can find services quickly.; Civic Awareness:: You know which offices matter.,I read crowds.; I value efficiency.,Order; Community,My neighborhood raised me.,I underestimate rural life.,Conversational Inertia,Registrar Elen,Concordian Civic Circles,City-bound,Urban access
Verdant Cradle Honorary,Vestigium,,Cultural,"Verdant Cradle,Nature",Nature; Survival,2,,,Verdant,1,"Living token, woven cloak",5 gp,Sacred Guest,Narrative,Verdant Cradle guardians recognize you as protected.,Sanctuary:: You may rest safely.; Guided Paths:: Wardens assist.,I tread lightly.; I listen.,Harmony; Growth,The Cradle spared me.,I avoid confrontation.,Environmental Calibration,Warden Lys,Verdant Cradle,Revocable status,Honorary title
Ocean's Captain,Vestigium,,Maritime,"Ocean,Ship",Athletics; Perception,2,Navigator’s Tools; Vehicles (Water),1,Trade Pidgin,1,"Captain’s coat, charts",20 gp,Command of the Deck,Narrative,Sailors recognize your authority.,Crew Respect:: Orders followed.; Port Standing:: Harbormasters listen.,I command clearly.; I read tides.,Leadership; Survival,My crew trusts me.,I shoulder blame.,Operational Planner,Harbormaster Keon,Maritime Guilds,Ship-specific,Naval leader
Underwater Explorer,Vestigium,,Exploration,"Underwater,Depths",Athletics; Survival,2,Diving Gear,1,,,"Weighted gear, journal",10 gp,Depth Acclimation,Narrative,You know underwater travel norms.,Pressure Acclimation:: You manage depth.; Salvage Routes:: You find sites.,I move deliberately.; I test limits.,Discovery; Endurance,The deep changed me.,I risk too much.,Veil-Habituated,Salvager Neth,Deepwater Circles,Requires gear,Aquatic exploration
Veil Explorer,Vestigium,,Exploration,"Veil,Planar",Arcana; Survival,2,,,Trade Pidgin,1,"Veil charts, seals",15 gp,Veil Navigation,Narrative,Explorers recognize your experience.,Safe Entry:: You find known crossings.; Hazard Lore:: You identify risks.,I map anomalies.; I trust data.,Discovery; Control,I crossed and returned.,I push limits.,Boundary Sense,Cartographer Yel,Veil Explorers,Hazardous work,Planar explorer
Erelian Linguist,Vestigium,,Academic,"Erelian,Language",History; Insight,2,,,Erelian; Trade Pidgin,1,"Lexicons, notes",10 gp,Linguistic Authority,Narrative,Scholars respect your language mastery.,Translation Access:: You mediate.; Script Insight:: You spot errors.,I parse words.; I value nuance.,Understanding; Truth,Languages preserve memory.,I overanalyze.,Iterative Reasoning,Professor Hal,Erelian Academies,Academic scope,Language specialist
Erelian Magic Initiate,Vestigium,,Arcane,"Erelian,Magic",Arcana; Religion,2,Calligrapher’s Supplies,1,Erelian,1,"Primer, focus",10 gp,Arcane Induction,Narrative,Arcane circles recognize your initiation.,Ritual Access:: You observe rites.; Minor Instruction:: Mages advise.,I practice basics.; I respect rules.,Knowledge; Discipline,I seek mastery.,I fear mistakes.,Material Intuition,Adept Rin,Erelian Circles,No spell power,Initiate only
Songscript Erudit,Vestigium,,Cultural,"Songscript,Art",Performance; History,2,Musical Instrument,1,Marillic,1,"Scores, tuning tools",10 gp,Living Archive,Narrative,Erudits share songs and scripts.,Cultural Access:: You learn rare works.; Performance Shelter:: Artists host you.,I memorize patterns.; I honor tradition.,Preservation; Expression,My song matters.,I resist change.,Maker’s Signature,Archivist Songweft,Songscript Orders,Non-combat,Cultural scholar
Varnhallan Spy,Vestigium,,Espionage,"Varnhallan,Spy",Deception; Stealth,2,Disguise Kit,1,Trade Pidgin,1,"False papers, tools",15 gp,Commercial Cover,Narrative,You hide within trade networks.,Cover Identities:: You blend.; Quiet Signals:: Contacts warn you.,I observe quietly.; I adapt.,Secrecy; Advantage,I serve unseen.,I trust no one.,Preemptive Read,Handler Vesk,Varnhallan Intelligence,Deep cover,Economic espionage
Vexholmic Spy,Vestigium,,Espionage,"Vexholmic,Spy",Stealth; Investigation,2,Forgery Kit,1,Vexholmic,1,"Codes, cloak",15 gp,Military Intelligence,Narrative,Military cells recognize you.,Secure Channels:: Messages pass.; Restricted Zones:: Guards hesitate.,I gather intel.; I plan exits.,Security; Control,The state depends on me.,I see enemies everywhere.,Witness of Collapse,Intel Officer Kra,Vexholmic Intelligence,High risk,Military spy
Skelbraith Spy,Vestigium,,Espionage,"Skelbraith,Spy",Perception; Deception,2,Navigator’s Tools,1,Trade Pidgin,1,"Charts, hidden marks",15 gp,Aerial Surveillance,Narrative,Sky routes conceal your work.,Hidden Routes:: You bypass notice.; Signal Lore:: You read signs.,I watch from above.; I stay mobile.,Freedom; Awareness,The skies hide me.,I avoid roots.,Boundary Sense,Skywatcher Iri,Skelbraith Network,Airbound,Aerial spy
Serevan Enforcer,Vestigium,,Security,"Serevan,Force",Athletics; Intimidation,2,Manacles,1,Trade Pidgin,1,"Uniform, baton",10 gp,Movement Enforcement,Narrative,Cells rely on you for force.,Crowd Control:: People disperse.; Order Calls:: Backup arrives.,I act directly.; I expect compliance.,Order; Loyalty,The cause needs strength.,I overuse force.,Situational Authority,Coordinator Bran,Serevan Movement,Public hostility,Political enforcer
Concordian Order Member,Vestigium,,Order,"Concordian,Order",Religion; Insight,2,,,Concordian,1,"Insignia, texts",10 gp,Doctrinal Standing,Narrative,Orders recognize your vows.,Ritual Access:: You attend rites.; Counsel:: Clergy advise.,I value structure.; I seek balance.,Order; Faith,My oath defines me.,I judge harshly.,Boundary Sense,Canon Merel,Concordian Orders,Dogmatic limits,Religious order
Concordian Nurse,Vestigium,,Medical,"Concordian,Healing",Medicine; Insight,2,Herbalism Kit,1,Concordian,1,"Bandages, salves",5 gp,Triage Authority,Narrative,People trust your care.,Emergency Aid:: You are admitted.; Medical Trust:: Patients cooperate.,I stay calm.; I focus on care.,Compassion; Duty,Lives depend on me.,I neglect myself.,Cognitive Offload,Matron Sel,Concordian Clinics,Non-combat,Medical support
Vexholmic Battle Healer,Vestigium,,Military,"Vexholmic,Medical",Medicine; Athletics,2,Herbalism Kit,1,Vexholmic,1,"Field kit, insignia",10 gp,Field Triage,Narrative,Troops rely on you under fire.,Combat Access:: You move freely.; Triage Priority:: Wounded defer.,I act fast.; I endure chaos.,Survival; Duty,My unit depends on me.,I ignore fear.,Productive Error,Captain Vol,Vexholmic Legions,High stress,Combat medic
Vessels Artisan,Vestigium,,Craft,"Vessels,Artisan",Arcana; Investigation,2,Potter’s Tools,1,Erelian,1,"Clay vessels, molds",10 gp,Conduit Craft,Narrative,Artisans recognize your specialty.,Workshop Access:: You use facilities.; Commission Trust:: Clients seek you.,I refine forms.; I test limits.,Creation; Precision,My vessels endure.,I obsess.,Material Intuition,Master Vel,Vessels Guild,Fragile goods,Specialized crafter
Chainbreaker,Vestigium,,Outlaw,"Liberation,Outlaw",Athletics; Intimidation,2,Smith’s Tools,1,Trade Pidgin,1,"Broken chain, tools",10 gp,Symbol of Revolt,Narrative,The oppressed recognize you.,Rally Effect:: People listen.; Hidden Aid:: Safe houses appear.,I defy control.; I inspire.,Freedom; Justice,Chains must fall.,I invite danger.,Operational Redundancy,Liberator Kael,Free Chains,Wanted,Revolutionary icon
